,Team,Home,Away,Year,Week,H_pts_per_game_scored,A_pts_per_game_scored,H_pts_per_game_allowed,A_pts_per_game_allowed,H_yds_per_game_gained,A_yds_per_game_gained,H_yds_per_game_allowed,A_yds_per_game_allowed,H_yds_per_point_scored,A_yds_per_point_scored,H_yds_per_point_allowed,A_yds_per_point_allowed,H_yds_per_ply_gained,A_yds_per_ply_gained,H_yds_per_ply_allowed,A_yds_per_ply_allowed,H_sacks_per_ply_allowed,A_sacks_per_ply_allowed,H_sacks_per_ply,A_sacks_per_ply,H_int_per_ply,A_int_per_Ply,H_int_per_ply_thrown,A_int_per_ply_thrown,H_pass_run_ratio,A_pass_run_ratio,H_yds_per_pass_gained,A_yds_per_pass_gained,H_yds_per_pass_allowed,A_yds_per_pass_allowed,H_yds_per_run_gained,A_yds_per_run_gained,H_yds_per_run_allowed,A_yds_per_run_allowed,H_Score,A_Score
20,buffalo-bills,buffalo-bills,new-york-jets,2010.0,4.0,10.0,18.5,15.0,36.0,166.0,280.0,296.0,395.5,16.6,15.135135135135135,19.733333333333334,10.98611111111111,3.074074074074074,5.233644859813084,4.054794520547945,6.483606557377049,0.05555555555555555,0.04672897196261682,0.0410958904109589,0.00819672131147541,0.0,0.03278688524590164,0.0,0.0,2.0,0.8214285714285714,4.088235294117647,7.586956521739131,5.352941176470588,9.053571428571429,2.9411764705882355,4.607142857142857,3.6666666666666665,4.476923076923077,14,38
21,buffalo-bills,buffalo-bills,jacksonville-jaguars,2010.0,5.0,12.0,18.5,26.5,36.0,194.5,280.0,370.0,395.5,16.208333333333332,15.135135135135135,13.962264150943396,10.98611111111111,3.89,5.233644859813084,5.0,6.483606557377049,0.06,0.04672897196261682,0.02027027027027027,0.00819672131147541,0.0,0.03278688524590164,0.0,0.0,1.8484848484848484,0.8214285714285714,4.377049180327869,7.586956521739131,5.883333333333334,9.053571428571429,4.96969696969697,4.607142857142857,4.764705882352941,4.476923076923077,26,36
22,buffalo-bills,baltimore-ravens,buffalo-bills,2010.0,7.0,16.666666666666668,18.5,29.666666666666668,36.0,231.66666666666666,280.0,373.6666666666667,395.5,13.9,15.135135135135135,12.595505617977528,10.98611111111111,4.512987012987013,5.233644859813084,5.338095238095238,6.483606557377049,0.05844155844155844,0.04672897196261682,0.023809523809523808,0.00819672131147541,0.0,0.03278688524590164,0.006493506493506494,0.0,1.6851851851851851,0.8214285714285714,5.351648351648351,7.586956521739131,6.6375,9.053571428571429,5.074074074074074,4.607142857142857,4.968,4.476923076923077,37,34
23,buffalo-bills,kansas-city-chiefs,buffalo-bills,2010.0,8.0,16.666666666666668,23.666666666666668,29.666666666666668,36.333333333333336,231.66666666666666,358.0,373.6666666666667,385.0,13.9,15.126760563380282,12.595505617977528,10.596330275229358,4.512987012987013,5.774193548387097,5.338095238095238,6.2771739130434785,0.05844155844155844,0.03225806451612903,0.023809523809523808,0.016304347826086956,0.0,0.03260869565217391,0.006493506493506494,0.0,1.6851851851851851,0.978021978021978,5.351648351648351,8.213483146067416,6.6375,8.701149425287356,5.074074074074074,4.285714285714286,4.968,4.531914893617022,13,10
24,buffalo-bills,buffalo-bills,chicago-bears,2010.0,9.0,16.666666666666668,20.25,29.666666666666668,30.5,231.66666666666666,350.5,373.6666666666667,392.25,13.9,17.308641975308642,12.595505617977528,12.860655737704919,4.512987012987013,5.192592592592592,5.338095238095238,6.0813953488372094,0.05844155844155844,0.03333333333333333,0.023809523809523808,0.023255813953488372,0.0,0.027131782945736434,0.006493506493506494,0.0,1.6851851851851851,1.1048387096774193,5.351648351648351,6.963503649635037,6.6375,8.044247787610619,5.074074074074074,4.25,4.968,5.0359712230215825,19,22
25,buffalo-bills,buffalo-bills,detroit-lions,2010.0,10.0,17.25,20.25,27.75,30.5,258.75,350.5,351.0,392.25,15.0,17.308641975308642,12.64864864864865,12.860655737704919,4.620535714285714,5.192592592592592,5.161764705882353,6.0813953488372094,0.044642857142857144,0.03333333333333333,0.022058823529411766,0.023255813953488372,0.007352941176470588,0.027131782945736434,0.004464285714285714,0.0,1.9722222222222223,1.1048387096774193,5.535211267605634,6.963503649635037,6.536363636363636,8.044247787610619,4.444444444444445,4.25,4.653846153846154,5.0359712230215825,14,12
26,buffalo-bills,cincinnati-bengals,buffalo-bills,2010.0,11.0,16.6,20.25,24.6,30.5,264.6,350.5,358.8,392.25,15.939759036144578,17.308641975308642,14.585365853658537,12.860655737704919,4.691489361702128,5.192592592592592,5.140401146131805,6.0813953488372094,0.03900709219858156,0.03333333333333333,0.02005730659025788,0.023255813953488372,0.0057306590257879654,0.027131782945736434,0.0070921985815602835,0.0,1.5809523809523809,1.1048387096774193,5.614457831325301,6.963503649635037,6.5125,8.044247787610619,4.466666666666667,4.25,4.406593406593407,5.0359712230215825,31,49
27,buffalo-bills,buffalo-bills,pittsburgh-steelers,2010.0,12.0,16.6,26.0,24.6,30.6,264.6,370.2,358.8,386.0,15.939759036144578,14.238461538461538,14.585365853658537,12.61437908496732,4.691489361702128,5.609090909090909,5.140401146131805,5.902140672782875,0.03900709219858156,0.030303030303030304,0.02005730659025788,0.024464831804281346,0.0057306590257879654,0.027522935779816515,0.0070921985815602835,0.006060606060606061,1.5809523809523809,1.1476510067114094,5.614457831325301,7.426900584795321,6.5125,7.713333333333333,4.466666666666667,4.483221476510067,4.406593406593407,4.928994082840236,16,19
28,buffalo-bills,minnesota-vikings,buffalo-bills,2010.0,13.0,16.5,26.0,23.666666666666668,30.6,275.3333333333333,370.2,370.0,386.0,16.68686868686869,14.238461538461538,15.633802816901408,12.61437908496732,4.77456647398844,5.609090909090909,5.138888888888889,5.902140672782875,0.03757225433526012,0.030303030303030304,0.027777777777777776,0.024464831804281346,0.006944444444444444,0.027522935779816515,0.005780346820809248,0.006060606060606061,1.7295081967213115,1.1476510067114094,5.672985781990521,7.426900584795321,6.6735751295336785,7.713333333333333,4.450819672131147,4.483221476510067,4.440528634361233,4.928994082840236,38,14
29,buffalo-bills,buffalo-bills,cleveland-browns,2010.0,14.0,16.5,24.0,23.666666666666668,31.833333333333332,275.3333333333333,348.3333333333333,370.0,386.1666666666667,16.68686868686869,14.51388888888889,15.633802816901408,12.13089005235602,4.77456647398844,5.514511873350924,5.138888888888889,5.9258312020460355,0.03757225433526012,0.029023746701846966,0.027777777777777776,0.023017902813299233,0.006944444444444444,0.02557544757033248,0.005780346820809248,0.0158311345646438,1.7295081967213115,1.1395348837209303,5.672985781990521,7.285714285714286,6.6735751295336785,7.76878612716763,4.450819672131147,4.372093023255814,4.440528634361233,4.990430622009569,13,6
