,Int,IntYds,IntAvg,IntLong,IntTd,Solo,Ast,Tot,Sack,SackYds,SId,TId,PId,Player
3,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P14,/players/darrell-daniels-danieda05
0,0,0,0.00,0,0,2,2,0.0,0.0,--,S5,T8,P15,/players/seth-devalve-devalse01
1,0,0,0.00,0,0,4,5,0.0,0.0,--,S4,T8,P15,/players/seth-devalve-devalse01
2,0,0,0.00,0,0,2,3,0.0,0.0,--,S3,T8,P15,/players/seth-devalve-devalse01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T8,P15,/players/seth-devalve-devalse01
4,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P15,/players/seth-devalve-devalse01
0,0,0,0.00,0,0,3,5,0.0,0.0,0,S2,T1,P16,/players/michael-dogbe-dogbemi01
1,0,0,0.00,0,0,1,1,1.0,3.0,0,S1,T1,P16,/players/michael-dogbe-dogbemi01
0,0,0,0.00,0,0,3,5,0.0,0.0,--,S5,T17,P17,/players/kenyan-drake-drakeke02
1,0,0,0.00,0,0,5,6,0.0,0.0,--,S4,T17,P17,/players/kenyan-drake-drakeke02
2,0,0,0.00,0,0,1,1,0.0,0.0,--,S3,T17,P17,/players/kenyan-drake-drakeke02
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T17,P17,/players/kenyan-drake-drakeke02
4,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P17,/players/kenyan-drake-drakeke02
0,0,0,0.00,0,0,9,9,0.0,0.0,--,S3,T1,P18,/players/chase-edmonds-edmonch02
1,0,0,0.00,0,0,4,6,0.0,0.0,0,S2,T1,P18,/players/chase-edmonds-edmonch02
2,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P18,/players/chase-edmonds-edmonch02
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T6,P19,/players/kylie-fitts-fittsky01
1,0,0,0.00,0,0,2,4,0.0,0.0,0,S2,T1,P19,/players/kylie-fitts-fittsky01
2,0,0,0.00,0,0,5,9,0.0,0.0,0,S1,T1,P19,/players/kylie-fitts-fittsky01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T1,P20,/players/larry-fitzgerald-fitzgla01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T1,P20,/players/larry-fitzgerald-fitzgla01
2,0,0,0.00,0,0,3,3,0.0,0.0,--,S3,T1,P20,/players/larry-fitzgerald-fitzgla01
3,0,0,0.00,0,0,1,1,0.0,0.0,0,S2,T1,P20,/players/larry-fitzgerald-fitzgla01
4,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P20,/players/larry-fitzgerald-fitzgla01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T19,P21,/players/dj-foster-fostedj02
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T1,P21,/players/dj-foster-fostedj02
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T1,P21,/players/dj-foster-fostedj02
3,0,0,0.00,0,0,2,2,0.0,0.0,0,S2,T1,P21,/players/dj-foster-fostedj02
4,0,0,0.00,0,0,1,3,0.0,0.0,0,S1,T1,P21,/players/dj-foster-fostedj02
0,0,0,0.00,0,0,6,11,1.0,8.0,0,S1,T1,P22,/players/leki-fotu-fotule01
0,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T1,P23,/players/lamont-gaillard-gaillla01
1,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P23,/players/lamont-gaillard-gaillla01
0,0,0,0.00,0,0,4,4,0.0,0.0,--,S5,T10,P24,/players/max-garcia-garcima01
1,0,0,0.00,0,0,1,1,0.0,0.0,--,S4,T10,P24,/players/max-garcia-garcima01
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T10,P24,/players/max-garcia-garcima01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T1,P24,/players/max-garcia-garcima01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P24,/players/max-garcia-garcima01
0,0,0,0.00,0,0,7,7,0.0,0.0,--,S3,T1,P25,/players/dennis-gardeck-gardede01
1,0,0,0.00,0,0,7,11,0.0,0.0,0,S2,T1,P25,/players/dennis-gardeck-gardede01
2,0,0,0.00,0,0,14,16,7.0,41.0,0,S1,T1,P25,/players/dennis-gardeck-gardede01
0,0,0,0.00,0,0,41,51,12.5,96.5,--,S5,T1,P26,/players/markus-golden-goldema01
1,0,0,0.00,0,0,11,11,0.0,0.0,--,S4,T1,P26,/players/markus-golden-goldema01
2,0,0,0.00,0,0,25,30,2.5,17.0,--,S3,T1,P26,/players/markus-golden-goldema01
3,0,0,0.00,0,0,37,72,10.0,71.5,0,S2,T21,P26,/players/markus-golden-goldema01
4,0,0,0.00,0,0,4,10,1.5,8.5,1,S1,T21,P26,/players/markus-golden-goldema01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T8,P27,/players/zane-gonzalez-gonzaza01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T8,P27,/players/zane-gonzalez-gonzaza01
2,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T1,P27,/players/zane-gonzalez-gonzaza01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P27,/players/zane-gonzalez-gonzaza01
0,5,41,8.20,34,0,58,85,1.0,3.0,--,S5,T24,P28,/players/jordan-hicks-hicksjo03
1,0,0,0.00,0,0,19,28,0.0,0.0,--,S4,T24,P28,/players/jordan-hicks-hicksjo03
