,Rec,Yds,Avg,YPG,Long,TD,20+,Tar,YAC,SId,TId,PId,Player
2,36,402,11.17,50.2,45,3,--,56,132,S3,T10,P2611,/players/demaryius-thomas-thomade05
3,0,0,0.00,0.0,0,0,0,0,0,S2,T19,P2611,/players/demaryius-thomas-thomade05
0,0,0,0.00,0.0,0,0,--,0,0,S3,T3,P2612,/players/kaare-vedvik-vedvika01
1,0,0,0.00,0.0,0,0,0,0,0,S2,T3,P2612,/players/kaare-vedvik-vedvika01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T29,P2614,/players/mark-barron-barroma01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T29,P2614,/players/mark-barron-barroma01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T29,P2614,/players/mark-barron-barroma01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T25,P2614,/players/mark-barron-barroma01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T25,P2615,/players/artie-burns-burnsar01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T25,P2615,/players/artie-burns-burnsar01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T25,P2615,/players/artie-burns-burnsar01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T25,P2615,/players/artie-burns-burnsar01
0,8,71,8.88,4.4,16,0,--,13,16,S4,T28,P2616,/players/amara-darboh-darboam01
1,0,0,0.00,0.0,0,0,0,0,0,S2,T25,P2616,/players/amara-darboh-darboam01
0,11,118,10.73,9.1,20t,2,--,21,38,S5,T25,P2618,/players/xavier-grimble-grimbxa01
1,5,32,6.40,2.1,12,1,--,9,16,S4,T25,P2618,/players/xavier-grimble-grimbxa01
2,6,86,14.33,5.4,23,0,--,8,56,S3,T25,P2618,/players/xavier-grimble-grimbxa01
3,1,3,3.00,1.0,3,0,0,3,2,S2,T25,P2618,/players/xavier-grimble-grimbxa01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T25,P2619,/players/devlin-hodges-hodgede01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T13,P2620,/players/tevin-jones-joneste08
1,0,0,0.00,0.0,0,0,--,0,0,S4,T16,P2620,/players/tevin-jones-joneste08
