,FGM,FGA,FPct,0-19,20-29,30-39,40-49,50+,Long,XPM,XPA,XPct,Pts,SId,TId,PId,Player
2,23,30,76.7,0-0,6-6,7-10,9-12,1-2,50,42,45,93.3,111,S3,T6,P1384,/players/cody-parkey-parkeco02
3,3,3,100.0,0-0,0-0,0-0,2-2,1-1,51,5,6,83.3,14,S2,T31,P1384,/players/cody-parkey-parkeco02
4,19,22,86.4,0-0,5-5,4-6,10-11,0-0,46,43,47,91.5,100,S1,T8,P1384,/players/cody-parkey-parkeco02
0,29,34,85.3,0-0,9-9,10-10,7-9,3-6,55,32,33,97.0,119,S5,T10,P1453,/players/brandon-mcmanus-mcmanbr01
1,24,32,75.0,0-0,6-8,11-12,4-6,3-6,53,27,27,100.0,99,S4,T10,P1453,/players/brandon-mcmanus-mcmanbr01
2,20,25,80.0,0-0,5-5,6-6,7-7,2-7,53,35,35,100.0,95,S3,T10,P1453,/players/brandon-mcmanus-mcmanbr01
3,29,34,85.3,0-0,6-6,9-9,10-12,4-7,53,25,26,96.2,112,S2,T10,P1453,/players/brandon-mcmanus-mcmanbr01
4,28,34,82.4,0-0,6-6,4-5,8-8,10-15,58,24,27,88.9,108,S1,T10,P1453,/players/brandon-mcmanus-mcmanbr01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T13,P1495,/players/kaimi-fairbairn-fairbka01
1,20,25,80.0,0-0,3-4,8-10,6-7,3-4,55,32,35,91.4,92,S4,T13,P1495,/players/kaimi-fairbairn-fairbka01
2,37,42,88.1,1-1,9-9,11-11,12-15,4-6,54,39,41,95.1,150,S3,T13,P1495,/players/kaimi-fairbairn-fairbka01
3,20,25,80.0,0-0,5-5,8-8,4-6,3-6,54,40,45,88.9,100,S2,T13,P1495,/players/kaimi-fairbairn-fairbka01
4,27,31,87.1,0-0,8-8,9-9,6-8,4-6,54,37,40,92.5,118,S1,T13,P1495,/players/kaimi-fairbairn-fairbka01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T30,P1506,/players/vernon-hargreaves-hargrve01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T30,P1506,/players/vernon-hargreaves-hargrve01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T30,P1506,/players/vernon-hargreaves-hargrve01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T30,P1506,/players/vernon-hargreaves-hargrve01
4,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T13,P1506,/players/vernon-hargreaves-hargrve01
0,32,37,86.5,0-0,10-10,12-13,9-11,1-3,53,43,45,95.6,139,S1,T14,P1551,/players/rodrigo-blankenship-blankro01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T14,P1597,/players/rigoberto-sanchez-sanchri01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T14,P1597,/players/rigoberto-sanchez-sanchri01
2,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S2,T14,P1597,/players/rigoberto-sanchez-sanchri01
3,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T14,P1597,/players/rigoberto-sanchez-sanchri01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S1,T15,P1616,/players/luqman-barcoo-barcolu01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T7,P1618,/players/jonathan-brown-brownjo12
1,1,2,50.0,0-0,0-0,1-2,0-0,0-0,31,1,1,100.0,4,S1,T15,P1618,/players/jonathan-brown-brownjo12
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S3,T15,P1627,/players/logan-cooke-cookelo01
