,FGM,FGA,FPct,0-19,20-29,30-39,40-49,50+,Long,XPM,XPA,XPct,Pts,SId,TId,PId,Player
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T18,P3178,/players/ryan-quigley-quiglry01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T18,P3178,/players/ryan-quigley-quiglry01
0,12,16,75.0,1-1,1-1,5-6,4-6,1-2,50,15,19,78.9,51,S5,T18,P3256,/players/blair-walsh-walshbl01
1,21,29,72.4,0-0,6-6,7-10,8-12,0-1,49,37,38,97.4,100,S4,T28,P3256,/players/blair-walsh-walshbl01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S2,T2,P3256,/players/blair-walsh-walshbl01
0,1,2,50.0,0-0,0-0,1-1,0-0,0-1,35,3,4,75.0,6,S5,T8,P3264,/players/patrick-murray-murrapa02
1,19,23,82.6,0-0,5-5,8-8,4-5,2-5,50,21,22,95.5,78,S4,T30,P3264,/players/patrick-murray-murrapa02
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T2,P3286,/players/nick-rose-roseni01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T27,P3286,/players/nick-rose-roseni01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T13,P3286,/players/nick-rose-roseni01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T17,P3316,/players/marshall-koehn-koehnma01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,1,1,100.0,1,S4,T7,P3316,/players/marshall-koehn-koehnma01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T21,P3316,/players/marshall-koehn-koehnma01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T13,P3363,/players/shane-lechler-lechlsh01
1,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S4,T13,P3363,/players/shane-lechler-lechlsh01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T13,P3363,/players/shane-lechler-lechlsh01
0,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S5,T8,P3424,/players/travis-coons-coonstr01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T29,P3424,/players/travis-coons-coonstr01
0,35,41,85.4,1-1,12-12,11-11,8-11,3-6,53,22,25,88.0,127,S5,T13,P3431,/players/nick-novak-novakni01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T13,P3431,/players/nick-novak-novakni01
0,11,12,91.7,1-1,3-3,3-3,4-4,0-1,48,9,9,100.0,42,S5,T21,P3616,/players/josh-brown-brownjo05
0,22,31,71.0,0-0,5-5,13-15,4-10,0-1,43,32,34,94.1,98,S5,T30,P3675,/players/roberto-aguayo-aguayro01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T6,P3675,/players/roberto-aguayo-aguayro01
2,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S3,T26,P3675,/players/roberto-aguayo-aguayro01
0,19,25,76.0,1-1,8-8,5-5,4-9,1-2,54,40,45,88.9,97,S5,T4,P3720,/players/dan-carpenter-carpeda01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T4,P3724,/players/jordan-gay-gayjo01
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T31,P3724,/players/jordan-gay-gayjo01
0,0,0,0.0,0-0,0-0,0-0,0-0,0-0,0,0,0,0.0,0,S5,T14,P3787,/players/pat-mcafee-mcafepa01
0,16,21,76.2,0-0,8-10,6-6,1-3,1-2,55,41,42,97.6,89,S5,T17,P3839,/players/andrew-franks-frankan02
1,0,0,0.0,-,-,-,-,-,0,0,0,0.0,0,S4,T17,P3839,/players/andrew-franks-frankan02
