No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
60,Michael Jordan\JordMi01,22,LG,14,10,315,6-6,Ohio St.,1/25/1998,1,4,Cincinnati Bengals / 4th / 136th pick / 2019,$675000
90,Khalid Kareem\KareKh00,22,,16,0,268,6-4,Notre Dame,4/28/1998,Rook,1,Cincinnati Bengals / 5th / 147th pick / 2020,$610000
58,Carl Lawson\LawsCa00,25,RDE,16,11,265,6-2,Auburn,6/29/1995,3,6,Cincinnati Bengals / 4th / 116th pick / 2017,$2133000
69,Kahlil McKenzie\McKeKa00,23,,7,0,320,6-3,Tennessee,1/3/1997,2,1,Kansas City Chiefs / 6th / 198th pick / 2018,
28,Joe Mixon\MixoJo00,24,rb,6,6,220,6-1,Oklahoma,7/24/1996,3,3,Cincinnati Bengals / 2nd / 48th pick / 2017,$1300000
17,Stanley Morgan Jr.\MorgSt02,24,,6,0,205,6-0,Nebraska,9/7/1996,1,0,,$585000
34,Samaje Perine\PeriSa00,25,,16,1,240,5-11,Oklahoma,9/16/1995,3,2,Washington Redskins / 4th / 114th pick / 2017,$825000
23,Darius Phillips\PhilDa02,25,LCB,12,8,190,5-10,West. Michigan,6/26/1995,2,4,Cincinnati Bengals / 5th / 170th pick / 2018,$750000
57,Germaine Pratt\PratGe00,24,MLB,16,15,245,6-2,North Carolina St.,5/21/1996,1,7,Cincinnati Bengals / 3rd / 72nd pick / 2019,$684555
53,Billy Price\PricBi01,26,,16,1,310,6-4,Ohio St.,10/11/1994,2,1,Cincinnati Bengals / 1st / 21st pick / 2018,$1544772
98,D.J. Reader\ReadD.00,26,ldt,5,5,347,6-3,Clemson,7/1/1994,4,2,Houston Texans / 5th / 166th pick / 2016,$2000000
62,Alex Redmond\RedmAl01,25,RG,9,7,320,6-5,UCLA,1/18/1995,3,3,,$679412
11,John Ross\RossJo00,25,,3,1,194,5-11,Washington,11/27/1995,3,0,Cincinnati Bengals / 1st / 9th pick / 2017,$2798981
89,Drew Sample\SampDr00,24,TE,16,13,258,6-4,Washington,4/16/1996,1,2,Cincinnati Bengals / 2nd / 52nd pick / 2019,$745286
86,Mason Schreck\SchrMa00,27,,14,1,252,6-5,Buffalo,11/4/1993,2,0,Cincinnati Bengals / 7th / 251st pick / 2017,$705888
3,Austin Seibert\SeibAu00,24,,4,0,214,5-9,Oklahoma,11/15/1996,1,0,Cleveland Browns / 5th / 170th pick / 2019,$635296
38,LeShaun Sims\SimsLe00,27,LCB,13,10,203,6-0,Southern Utah,9/18/1993,4,4,Tennessee Titans / 5th / 157th pick / 2016,$1100000
67,Quinton Spain\SpaiQu00,29,RG,9,8,330,6-4,West Virginia,8/7/1991,5,3,,$2250000
72,Xavier Su'a-Filo\Sua-Xa00,29,lg,6,5,310,6-4,UCLA,1/1/1991,6,2,Houston Texans / 2nd / 33rd pick / 2014,$1000000
65,Keaton Sutherland\SuthKe00,23,,1,0,315,6-5,Texas A&M,2/12/1997,1,0,,$595588
19,Auden Tate\TateAu00,23,,9,2,228,6-5,Florida St.,2/3/1997,2,1,Cincinnati Bengals / 7th / 253rd pick / 2018,$750000
80,Mike Thomas\ThomMi04,26,,14,0,189,6-1,Southern Miss,8/16/1994,4,1,Los Angeles Rams / 6th / 206th pick / 2016,$825000
87,C.J. Uzomah\UzomC.00,27,,2,2,260,6-6,Auburn,1/14/1993,5,1,Cincinnati Bengals / 5th / 157th pick / 2015,$3050000
73,Jonah Williams\WillJo10,23,LT,10,10,305,6-4,Alabama,11/17/1997,Rook,4,Cincinnati Bengals / 1st / 11th pick / 2019,$1296371
36,Shawn Williams\WillSh02,29,,13,0,212,6-0,Georgia,5/13/1991,7,1,Cincinnati Bengals / 3rd / 84th pick / 2013,$3935000
32,Trayveon Williams\WillTr06,23,,10,0,206,5-8,Texas A&M,10/18/1997,1,1,Cincinnati Bengals / 6th / 182nd pick / 2019,$675000
71,Xavier Williams\WillXa00,28,,11,3,309,6-2,Northern Iowa,1/18/1992,5,2,,$642353
40,Brandon Wilson\WilsBr01,26,,15,0,200,5-10,Houston,7/27/1994,3,2,Cincinnati Bengals / 6th / 207th pick / 2017,$2133000
55,Logan Wilson\WilsLo00,24,,12,2,241,6-2,Wyoming,7/8/1996,Rook,2,Cincinnati Bengals / 3rd / 65th pick / 2020,$610000
