No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
77,Hakeem Adeniji\AdenHa00,23,lt,15,5,302,6-4,Kansas,12/8/1997,Rook,3,Cincinnati Bengals / 6th / 180th pick / 2020,$610000
92,Freedom Akinmoladun\AkinFr01,24,,2,0,284,6-3,Nebraska,2/11/1996,1,0,,$134400
21,Mackensie Alexander\AlexMa01,27,RLB,13,10,192,5-10,Clemson,11/12/1993,4,5,Minnesota Vikings / 2nd / 54th pick / 2016,$2250000
8,Brandon Allen\AlleBr00,28,qb,5,5,209,6-2,Arkansas,9/5/1992,2,2,Jacksonville Jaguars / 6th / 201st pick / 2016,$204000
97,Geno Atkins\AtkiGe99,32,,8,0,300,6-1,Georgia,3/28/1988,10,0,Cincinnati Bengals / 4th / 120th pick / 2010,$11100000
51,Markus Bailey\BailMa01,23,,11,0,235,6-0,Purdue,3/7/1997,Rook,1,Cincinnati Bengals / 7th / 215th pick / 2020,$610000
30,Jessie Bates III\BateJe00,23,FS,16,16,200,6-1,Wake Forest,2/26/1997,2,11,Cincinnati Bengals / 2nd / 54th pick / 2018,$929801
24,Vonn Bell\BellVo00,26,SS,16,16,205,5-11,Ohio St.,12/12/1994,4,7,New Orleans Saints / 2nd / 61st pick / 2016,$3000000
25,Giovani Bernard\BernGi00,29,RB,16,10,205,5-9,North Carolina,11/22/1991,7,4,Cincinnati Bengals / 2nd / 37th pick / 2013,$3100000
91,Amani Bledsoe\BledAm01,22,,14,4,280,6-4,Oklahoma,2/6/1998,Rook,0,,$574112
83,Tyler Boyd\BoydTy00,26,WR,15,8,203,6-2,Pittsburgh,11/15/1994,4,6,Cincinnati Bengals / 2nd / 55th pick / 2016,$4200000
93,Andrew Brown\BrowAn05,25,,4,0,290,6-3,Virginia,12/30/1995,2,0,Cincinnati Bengals / 5th / 158th pick / 2018,$675000
27,Tony Brown\BrowTo01,25,,13,1,199,6-0,Alabama,7/13/1995,2,1,,$750000
4,Randy Bullock\BullRa00,31,,12,0,210,5-9,Texas A&M,12/16/1989,8,2,Houston Texans / 5th / 161st pick / 2012,$1525000
9,Joe Burrow\BurrJo01,24,QB,10,10,221,6-3,Ohio St.LSU,12/10/1996,Rook,7,Cincinnati Bengals / 1st / 1st pick / 2020,$610000
56,Josh Bynes\ByneJo00,31,LLB,16,16,235,6-1,Auburn,8/24/1989,9,8,,$1050000
63,Shaq Calhoun\CalhSh01,24,,1,1,310,6-3,Mississippi St.,2/20/1996,1,0,,$675000
82,Cethan Carter\CartCe00,25,TE,15,5,248,6-3,Nebraska,9/5/1995,3,0,,$2133000
99,Christian Covington\CoviCh00,27,RDT,16,14,305,6-2,Rice,10/16/1993,5,6,Houston Texans / 6th / 216th pick / 2015,$1250000
76,Mike Daniels\DaniMi00,31,LDT,11,11,310,6-0,Iowa,5/5/1989,8,5,Green Bay Packers / 4th / 132nd pick / 2012,$1050000
37,Jalen Davis\DaviJa06,24,,6,0,185,5-10,Utah St.,2/2/1996,2,0,,
59,Akeem Davis-Gaither\DaviAk01,23,,16,2,224,6-1,Appalachian St.,9/21/1997,Rook,2,Cincinnati Bengals / 4th / 107th pick / 2020,$610000
96,Carlos Dunlap\DunlCa99,31,,7,4,285,6-6,Florida,2/28/1989,10,2,Cincinnati Bengals / 2nd / 54th pick / 2010,$7800000
12,Alex Erickson\EricAl01,28,,16,2,195,6-0,Wisconsin,11/6/1992,4,1,,$1600000
50,Jordan Evans\EvanJo01,25,,15,0,242,6-3,Oklahoma,1/27/1995,3,2,Cincinnati Bengals / 6th / 193rd pick / 2017,$825000
5,Ryan Finley\FinlRy00,26,,5,1,207,6-4,North Carolina St.,12/26/1994,1,1,Cincinnati Bengals / 4th / 104th pick / 2019,$675000
61,B.J. Finney\FinnB.01,29,,1,0,318,6-4,Kansas St.,10/26/1991,4,0,,$1470588
18,A.J. Green\GreeA.00,32,WR,16,14,210,6-4,Georgia,7/31/1988,9,3,Cincinnati Bengals / 1st / 4th pick / 2011,$17971000
46,Clark Harris\HarrCl20,36,,16,0,250,6-5,Rutgers,7/10/1984,12,1,Green Bay Packers / 7th / 243rd pick / 2007,$1050000
68,Bobby Hart\HartBo00,26,RT,14,13,310,6-5,Florida St.,8/21/1994,5,5,New York Giants / 7th / 226th pick / 2015,$2850000
41,Trayvon Henderson\HendTr01,25,,4,0,205,6-0,Hawaii,8/15/1995,2,0,,$134400
85,Tee Higgins\HiggTe00,21,WR,16,14,216,6-4,Clemson,1/18/1999,Rook,6,Cincinnati Bengals / 2nd / 33rd pick / 2020,$610000
66,Trey Hopkins\HopkTr01,28,C,15,15,316,6-3,Texas,7/6/1992,6,6,,$2550000
94,Sam Hubbard\HubbSa00,25,LDE,13,13,265,6-5,Ohio St.,6/29/1995,2,6,Cincinnati Bengals / 3rd / 77th pick / 2018,$538237
10,Kevin Huber\HubeKe20,35,,16,0,210,6-1,Cincinnati,7/16/1985,11,3,Cincinnati Bengals / 5th / 142nd pick / 2009,$2500000
70,Margus Hunt\HuntMa00,33,,9,1,295,6-8,SMU,7/14/1987,7,1,Cincinnati Bengals / 2nd / 53rd pick / 2013,$679412
16,Trenton Irwin\IrwiTr00,25,,1,0,207,6-2,Stanford,12/10/1995,1,0,,$510000
22,William Jackson III\JackWi02,28,RCB,14,14,196,6-0,HoustonTrinity Valley CC (TX),10/27/1992,3,6,Cincinnati Bengals / 1st / 24th pick / 2016,$9954000
74,Fred Johnson\JohnFr01,23,lt,12,6,326,6-7,Florida,6/5/1997,1,3,,$675000
47,Keandre Jones\JoneKe03,23,,2,0,220,6-3,Maryland,9/24/1997,Rook,0,,
