No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
54,Steve Longa\LongSt00,23,,15,0,240,6-0,Rutgers,9/29/1994,1,1,,$465000
12,Bradley Marquez\MarqBr00,25,,1,0,205,5-10,Texas Tech,12/14/1992,2,0,,$180882
6,Sam Martin\MartSa01,27,,10,0,211,6-1,Appalachian St.,2/27/1990,4,1,Detroit Lions / 5th / 165th pick / 2013,$2225000
72,Brian Mihalik\MihaBr00,25,,15,2,315,6-9,Boston Col.,8/21/1992,Rook,0,Philadelphia Eagles / 7th / 237th pick / 2015,$540000
48,Don Muhlbach\MuhlDo20,36,,16,0,258,6-4,Texas A&M,8/17/1981,13,0,,$1000000
92,Haloti Ngata\NgatHa20,33,rdt,5,5,340,6-4,Oregon,1/21/1984,11,2,Baltimore Ravens / 1st / 12th pick / 2006,$5500000
5,Matt Prater\PratMa20,33,,16,0,201,5-10,Central Florida,8/10/1984,10,4,,$3150000
27,Glover Quin\QuinGl99,31,FS,16,16,207,6-0,New Mexico,1/15/1986,8,9,Houston Texans / 4th / 112th pick / 2009,$900000
2,Kasey Redfern\RedfKa00,26,,1,0,205,6-1,Wofford,9/26/1991,Rook,0,,$465000
44,Jalen Reeves-Maybin\ReevJa00,22,,14,0,233,6-0,Tennessee,1/31/1995,Rook,1,Detroit Lions / 4th / 124th pick / 2017,$465000
55,Caraun Reid\ReidCa00,26,,1,0,292,6-2,Princeton,11/23/1991,3,0,Detroit Lions / 5th / 158th pick / 2014,$487059
25,Theo Riddick\RiddTh00,26,rb,16,5,201,5-9,Notre Dame,5/4/1991,4,6,Detroit Lions / 6th / 199th pick / 2013,$1075000
55,Christian Ringo\RingCh00,25,,6,0,300,6-1,Louisiana,3/10/1992,1,0,Green Bay Packers / 6th / 210th pick / 2015,$190588
80,Michael Roberts\RobeMi01,23,,15,3,265,6-5,Toledo,5/7/1994,Rook,0,Detroit Lions / 4th / 127th pick / 2017,$465000
91,A'Shawn Robinson\RobiAS00,22,LDT,16,16,330,6-4,Alabama,3/21/1995,1,7,Detroit Lions / 2nd / 46th pick / 2016,$687892
70,Corey Robinson\RobiCo00,25,,8,5,315,6-7,South Carolina,5/21/1992,2,0,Detroit Lions / 7th / 240th pick / 2015,$615000
73,Greg Robinson\RobiGr01,25,lt,6,6,330,6-5,Auburn,10/21/1992,3,4,St. Louis Rams / 1st / 2nd pick / 2014,$3322377
14,Jake Rudock\RudoJa00,24,,3,0,212,6-3,Michigan,1/21/1993,Rook,0,Detroit Lions / 6th / 191st pick / 2016,$540000
74,Dan Skipper\SkipDa00,23,,1,0,325,6-9,Arkansas,9/20/1994,Rook,0,,$273530
23,Darius Slay*+\SlayDa00,26,LCB,16,16,190,6-0,Mississippi St.,1/1/1991,4,22,Detroit Lions / 2nd / 36th pick / 2013,$4100000
95,Jacquies Smith\SmitJa01,27,,2,0,260,6-2,Missouri,3/18/1990,5,0,,$446471
97,Akeem Spence\SpenAk00,26,RDT,16,11,303,6-1,Illinois,11/29/1991,4,5,Tampa Bay Buccaneers / 4th / 100th pick / 2013,$1250000
9,Matthew Stafford\StafMa00,29,QB,16,16,220,6-3,Georgia,2/7/1988,8,14,Detroit Lions / 1st / 1st pick / 2009,$1000000
64,Travis Swanson\SwanTr00,26,C,11,11,304,6-5,Arkansas,1/30/1991,3,8,Detroit Lions / 3rd / 76th pick / 2014,$1772000
30,Teez Tabor\TaboTe00,22,,10,1,191,6-0,Florida,12/31/1995,Rook,0,Detroit Lions / 2nd / 53rd pick / 2017,$465000
15,Golden Tate\TateGo00,29,WR,16,12,197,5-10,Notre Dame,8/2/1988,7,9,Seattle Seahawks / 2nd / 60th pick / 2010,$6000000
99,Khyri Thornton\ThorKh00,28,,4,0,304,6-3,Southern Miss,11/21/1989,3,0,Green Bay Packers / 3rd / 85th pick / 2014,$452941
84,Hakeem Valles\VallHa00,25,,1,0,250,6-3,Monmouth,11/23/1992,1,0,,$31765
78,Jeremiah Valoaga\ValoJe00,23,,9,0,275,6-6,UNLV,11/15/1994,Rook,1,,$465000
71,Ricky Wagner\WagnRi00,28,RT,13,13,313,6-6,Wisconsin,10/21/1989,4,9,Baltimore Ravens / 5th / 168th pick / 2013,$3000000
45,Charles Washington\WashCh01,24,,16,0,192,5-10,Fresno St.,3/10/1993,Rook,0,,$465000
90,Cornelius Washington\WashCo00,28,,15,2,280,6-4,Georgia,9/10/1989,4,2,Chicago Bears / 6th / 188th pick / 2013,$1237500
36,Dwayne Washington\WashDw00,23,,5,0,223,6-1,Washington,4/24/1994,1,0,Detroit Lions / 7th / 236th pick / 2016,$540000
59,Tahir Whitehead\WhitTa00,27,LLB,16,16,241,6-2,Temple,4/2/1990,5,8,Detroit Lions / 5th / 138th pick / 2012,$3050000
32,Tavon Wilson\WilsTa00,27,,10,9,208,6-0,Illinois,3/19/1990,5,0,New England Patriots / 2nd / 48th pick / 2012,$900000
58,Paul Worrilow\WorrPa00,27,RLB,13,8,230,6-0,Delaware,5/1/1990,4,4,,$2000000
34,Zach Zenner\ZennZa00,26,,8,0,224,5-11,South Dakota St.,9/13/1991,2,0,,$615000
69,Anthony Zettel\ZettAn00,25,LDE,16,16,275,6-4,Penn St.,8/9/1992,1,7,Detroit Lions / 6th / 202nd pick / 2016,$540000
