No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
29,Mike Adams\AdamMi21,35,SS,15,15,205,5-11,Delaware,3/24/1981,12,8,,$2209375
83,Dwayne Allen\AlleDw00,26,TE,14,14,260,6-4,Clemson,2/24/1990,4,4,Indianapolis Colts / 3rd / 64th pick / 2012,$8906250
96,Henry Anderson\AndeHe00,25,,11,2,301,6-6,Stanford,8/3/1991,1,0,Indianapolis Colts / 3rd / 93rd pick / 2015,$692919
56,Akeem Ayers\AyerAk00,27,,16,0,255,6-3,UCLA,7/10/1989,5,0,Tennessee Titans / 2nd / 39th pick / 2011,$1100000
50,Trevor Bates\BateTr00,23,,1,0,247,6-2,Maine,8/28/1993,Rook,0,Indianapolis Colts / 7th / 239th pick / 2016,$344110
63,Austin Blythe\BlytAu00,24,,8,1,298,6-3,Iowa,6/16/1992,Rook,0,Indianapolis Colts / 7th / 248th pick / 2016,$465497
11,Quan Bray\BrayQu00,23,,6,0,185,5-10,Auburn,4/28/1993,1,0,,$525000
20,Darius Butler\ButlDa99,30,fs,12,7,180,5-10,Connecticut,3/18/1986,7,5,New England Patriots / 2nd / 41st pick / 2009,$3000000
43,Chris Carter\CartCh00,27,,9,0,245,6-1,Fresno St.,4/6/1989,5,0,Pittsburgh Steelers / 5th / 162nd pick / 2011,$1000000
74,Anthony Castonzo\CastAn00,28,LT,16,16,307,6-7,Boston Col.,8/9/1988,5,11,Indianapolis Colts / 1st / 22nd pick / 2011,$9800000
62,Le'Raven Clark\ClarLe01,23,,8,3,311,6-5,Texas Tech,4/22/1993,Rook,0,Indianapolis Colts / 3rd / 82nd pick / 2016,$633433
85,Chase Coffman\CoffCh00,30,,2,0,250,6-5,Missouri,11/10/1986,7,0,Cincinnati Bengals / 3rd / 98th pick / 2009,
58,Trent Cole\ColeTr20,34,,7,4,270,6-3,Cincinnati,10/5/1982,11,0,Philadelphia Eagles / 5th / 146th pick / 2005,$5093750
31,Antonio Cromartie\CromAn20,32,,4,4,210,6-2,Florida St.,4/15/1984,10,0,San Diego Chargers / 1st / 19th pick / 2006,$2000000
21,Vontae Davis\DaviVo99,28,RCB,14,14,207,5-11,Illinois,5/27/1988,7,7,Miami Dolphins / 1st / 25th pick / 2009,$8375000
15,Phillip Dorsett\DorsPh00,23,wr,15,7,192,5-10,Miami (FL),1/5/1993,1,5,Indianapolis Colts / 1st / 29th pick / 2015,$1848958
84,Jack Doyle\DoylJa00,26,TE,16,14,262,6-6,Western Kentucky,5/5/1990,3,6,,$1671000
95,Lavar Edwards\EdwaLa00,26,,5,0,277,6-4,LSU,3/29/1990,3,0,Tennessee Titans / 5th / 142nd pick / 2013,$675000
41,Matthias Farley\FarlMa00,24,,16,0,204,5-11,Notre Dame,7/15/1992,Rook,0,,$450000
34,Josh Ferguson\FergJo02,23,,16,0,205,5-10,Illinois,5/23/1993,Rook,1,,$453333
26,Clayton Geathers\GeatCl00,24,FS,9,9,216,6-2,Central Florida,6/1/1992,1,4,Indianapolis Colts / 4th / 109th pick / 2015,$658482
71,Denzelle Good\GoodDe01,25,RG,12,10,340,6-5,Mars Hill,3/8/1991,1,7,Indianapolis Colts / 7th / 255th pick / 2015,$538196
23,Frank Gore\GoreFr00,33,RB,16,16,212,5-9,Miami (FL),5/14/1983,11,10,San Francisco 49ers / 3rd / 65th pick / 2005,$4000000
32,T.J. Green\GreeT.00,21,,15,4,215,6-3,Clemson,3/15/1995,Rook,0,Indianapolis Colts / 2nd / 57th pick / 2016,$757679
