No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
27,Winston Guy\GuyxWi00,26,,2,0,218,6-1,Kentucky,4/23/1990,4,0,Seattle Seahawks / 6th / 181st pick / 2012,$760000
73,Joe Haeg\HaegJo00,23,RT,15,14,298,6-6,North Dakota St.,3/11/1993,Rook,10,Indianapolis Colts / 5th / 155th pick / 2016,$510602
72,Jonotthan Harrison\HarrJo03,25,,13,4,300,6-4,Florida,8/25/1991,2,0,,$602500
13,T.Y. Hilton*\HiltT.00,27,WR,16,16,183,5-10,Florida International,11/14/1989,4,14,Indianapolis Colts / 3rd / 92nd pick / 2012,$11000000
52,D'Qwell Jackson\JackDQ20,33,LILB,12,12,242,6-0,Maryland,9/26/1983,10,8,Cleveland Browns / 2nd / 34th pick / 2006,$5750000
53,Edwin Jackson\JackEd00,25,RILB,16,8,230,,Georgia Southern,12/19/1991,Rook,6,,$450000
38,Charles James\JameCh00,26,,1,0,179,5-9,Charleston Southern,5/14/1990,3,0,,$105882
97,Arthur Jones\JoneAr22,30,RDE,8,8,301,6-3,Syracuse,6/30/1986,6,5,Baltimore Ravens / 5th / 157th pick / 2010,$3011764
78,Ryan Kelly\KellRy00,23,C,16,16,307,6-4,Alabama,5/30/1993,Rook,11,Indianapolis Colts / 1st / 18th pick / 2016,$1900178
94,Zach Kerr\KerrZa00,26,,12,4,334,6-2,Delaware,8/29/1990,2,0,,$602000
50,Deon King\KingDe00,23,,4,0,220,6-2,Norfolk St.,7/2/1993,Rook,0,,$450000
90,Kendall Langford\LangKe98,30,LDE,7,7,305,6-6,Hampton,1/27/1986,8,4,Miami Dolphins / 3rd / 66th pick / 2008,$4250000
12,Andrew Luck\LuckAn00,27,QB,15,15,240,6-4,Stanford,9/12/1989,4,16,Indianapolis Colts / 1st / 1st pick / 2012,$18400000
92,Curt Maggitt\MaggCu00,23,,9,0,256,6-3,Tennessee,2/4/1993,Rook,0,,$450000
98,Robert Mathis\MathRo20,35,ROLB,14,12,245,6-2,Alabama A&M,2/26/1981,13,8,Indianapolis Colts / 5th / 138th pick / 2003,$5000000
1,Pat McAfee*\McAfPa44,29,,16,0,233,6-1,West Virginia,5/2/1987,7,3,Indianapolis Colts / 7th / 222nd pick / 2009,$2700000
99,T.Y. McGill\McGiT.00,24,,13,0,299,6-0,North Carolina St.,11/23/1992,1,0,,$525000
57,Josh McNary\McNaJo00,28,,16,3,251,6-0,Army,4/10/1988,3,0,,$675000
30,Rashaan Melvin\MelvRa00,27,LCB,15,9,194,6-2,Northern Illinois,10/2/1989,3,5,,$675000
75,Jack Mewhort\MewhJa00,25,LG,10,10,310,6-6,Ohio St.,8/30/1991,2,7,Indianapolis Colts / 2nd / 59th pick / 2014,$974673
40,Christopher Milton\MiltCh00,24,,6,1,190,5-11,Georgia Tech,9/15/1992,Rook,0,,$450000
10,Donte Moncrief\MoncDo00,23,WR,9,7,216,6-2,Mississippi,8/6/1993,2,3,Indianapolis Colts / 3rd / 90th pick / 2014,$750880
55,Sio Moore\MoorSi00,26,,4,4,245,6-1,Connecticut,5/2/1990,3,0,Oakland Raiders / 3rd / 66th pick / 2013,$1671000
35,Darryl Morris\MorrDa01,26,,12,2,188,5-10,Texas St.,9/4/1990,3,0,,$675000
44,Antonio Morrison\MorrAn01,22,,16,4,241,6-1,Florida,12/6/1994,Rook,0,Indianapolis Colts / 4th / 125th pick / 2016,$579976
48,Deiontrez Mount\MounDe00,23,,1,0,253,6-5,Louisville,2/26/1993,1,0,Tennessee Titans / 6th / 177th pick / 2015,$92646
45,Matt Overton\OverMa00,31,,16,0,243,6-1,West. Washington,7/6/1985,4,0,,$800000
54,David Parry\ParrDa00,24,NT,16,16,315,6-2,Stanford,3/7/1992,1,10,Indianapolis Colts / 5th / 151st pick / 2015,$580002
76,Joe Reitz\ReitJo00,31,rt,13,6,256,6-7,West. Michigan,8/24/1985,5,5,,$3250000
46,Luke Rhodes\RhodLu00,24,,4,0,238,6-2,William & Mary,12/2/1992,Rook,0,,$105880
91,Hassan Ridgeway\RidgHa00,22,lde,16,5,305,6-3,Texas,11/2/1994,Rook,4,Indianapolis Colts / 4th / 116th pick / 2016,$590055
25,Patrick Robinson\RobiPa99,29,lcb,7,6,191,5-11,Florida St.,9/7/1987,6,3,New Orleans Saints / 1st / 32nd pick / 2010,$4000000
80,Chester Rogers\RogeCh02,22,,14,2,184,6-0,Grambling St.,1/12/1994,Rook,3,,$450000
17,Tevaun Smith\SmitTe03,23,,2,0,197,6-2,Iowa,1/30/1993,Rook,0,,
81,Devin Street\StreDe00,25,,5,0,200,6-3,Pittsburgh,3/30/1991,2,0,Dallas Cowboys / 5th / 146th pick / 2014,$529411
86,Erik Swoope\SwooEr00,24,,16,4,255,6-4,Miami (FL),5/8/1992,2,3,,$450000
28,Jordan Todman\TodmJo00,26,,16,0,200,5-10,Connecticut,2/24/1990,5,1,San Diego Chargers / 6th / 183rd pick / 2011,$600000
16,Scott Tolzien\TolzSc00,29,,3,1,205,6-3,Wisconsin,9/4/1987,5,1,,$1500000
33,Robert Turbin\TurbRo00,27,,15,0,225,5-10,Utah St.,12/2/1989,4,3,Seattle Seahawks / 4th / 106th pick / 2012,$600000
4,Adam Vinatieri\vinatada01,44,,16,0,212,6-0,South Dakota St.,12/28/1972,20,6,,$3250000
67,Jeremy Vujnovich\VujnJe00,26,,2,0,300,6-5,Louisiana College,10/12/1990,2,0,,$370580
93,Erik Walden\WaldEr99,31,LOLB,16,16,250,6-2,Middle Tenn. St.,8/21/1985,8,10,Dallas Cowboys / 6th / 167th pick / 2008,$4250000
31,Duke Williams\WillDu00,26,,1,0,201,5-11,Nevada,10/15/1990,3,0,Buffalo Bills / 4th / 105th pick / 2013,$119117
37,Frankie Williams\WillFr05,23,,3,0,190,5-9,Purdue,3/28/1993,Rook,0,,$450000
