No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
91,Arik Armstead\ArmsAr01,23,,8,4,292,6-7,Oregon,11/15/1993,1,0,San Francisco 49ers / 1st / 17th pick / 2015,$882392
54,Ray-Ray Armstrong\ArmsRa01,25,,2,0,220,6-3,Miami (FL),3/5/1991,3,0,,$675000
75,Alex Balducci\BaldAl01,22,,2,0,310,6-4,Oregon,3/1/1994,Rook,0,,$79410
46,Marcus Ball\BallMa00,29,,5,0,209,6-1,Memphis,7/21/1987,2,0,,$154411
68,Zane Beadles\BeadZa20,30,LG,16,16,305,6-4,Utah,11/19/1986,6,7,Denver Broncos / 2nd / 45th pick / 2010,$1050000
84,Blake Bell\BellBl00,25,,13,0,252,6-6,Oklahoma,8/7/1991,1,1,San Francisco 49ers / 4th / 117th pick / 2015,$525000
50,Nick Bellore\BellNi01,27,LILB,14,10,250,6-1,Central Michigan,5/12/1989,5,6,,$760000
41,Antoine Bethea\BethAn20,32,SS,16,16,206,5-11,Howard,7/27/1984,10,7,Indianapolis Colts / 6th / 207th pick / 2006,$4500000
98,Ronald Blair\BlaiRo00,23,,16,0,270,6-4,Appalachian St.,1/21/1993,Rook,0,San Francisco 49ers / 5th / 142nd pick / 2016,$450000
53,NaVorro Bowman\BowmNa99,28,,4,4,230,6-1,Penn St.,5/28/1988,6,0,San Francisco 49ers / 3rd / 91st pick / 2010,$5850000
45,Carl Bradford\BradCa01,24,,2,0,250,6-1,Arizona St.,8/15/1992,2,0,Green Bay Packers / 4th / 121st pick / 2014,$525000
26,Tramaine Brock\BrocTr00,28,LCB,16,16,188,6-0,MinnesotaBelhaven,8/20/1988,6,7,,$2700000
55,Ahmad Brooks\BrooAh21,32,LOLB,16,16,259,6-3,Virginia,3/14/1984,10,7,Cincinnati Bengals / 3rd / 1st pick / 2006 Supp,$4900000
77,Trent Brown\BrowTr02,23,RT,16,16,380,6-8,Florida,4/13/1993,1,7,San Francisco 49ers / 7th / 244th pick / 2015,$525000
99,DeForest Buckner\BuckDe00,22,LDE,15,15,300,6-7,Oregon,3/17/1994,Rook,8,San Francisco 49ers / 1st / 7th pick / 2016,$450000
13,Aaron Burbridge\BurbAa00,23,,16,3,208,6-1,Michigan St.,12/23/1993,Rook,1,San Francisco 49ers / 6th / 213th pick / 2016,$450000
95,Tank Carradine\CarrCo00,26,,13,0,267,6-4,Florida St.,2/18/1990,3,0,San Francisco 49ers / 2nd / 40th pick / 2013,$1029684
88,Garrett Celek\CeleGa00,28,te,16,6,252,6-5,Michigan St.,5/29/1988,4,3,,$1000000
20,Marcus Cromartie\CromMa01,26,,10,0,195,6-0,Wisconsin,12/3/1990,3,0,,$600000
76,Anthony Davis\DaviAn27,27,,1,0,323,6-5,Rutgers,10/11/1989,6,0,San Francisco 49ers / 1st / 11th pick / 2010,$1225000
43,Chris Davis\DaviCh05,26,,4,0,205,5-11,Auburn,11/4/1990,2,0,,$600000
22,Mike Davis\DaviMi01,23,,8,1,221,5-9,South Carolina,2/19/1993,1,0,San Francisco 49ers / 4th / 126th pick / 2015,$525000
4,Phil Dawson\dawsophi01,41,,16,0,200,5-11,Texas,1/23/1975,17,4,,$3134000
92,Quinton Dial\DialQu00,26,RDE,14,11,318,6-5,East Mississippi CCAlabama,7/21/1990,3,5,San Francisco 49ers / 5th / 157th pick / 2013,$675000
90,Glenn Dorsey\DorsGl99,31,NT,12,7,316,6-2,LSU,8/1/1985,8,4,Kansas City Chiefs / 1st / 5th pick / 2008,$1800000
24,Shaun Draughn\DrauSh00,29,,16,1,205,6-0,North Carolina,12/7/1987,5,3,,$760000
49,Jim Dray\DrayJi00,30,,2,1,253,6-5,Stanford,12/31/1986,6,0,Arizona Cardinals / 7th / 233rd pick / 2010,$89411
2,Blaine Gabbert\GabbBl00,27,qb,6,5,235,6-4,Missouri,10/15/1989,5,0,Jacksonville Jaguars / 1st / 10th pick / 2011,$1750000
62,Andrew Gardner\GardAn20,30,,1,1,304,6-7,Georgia Tech,4/4/1986,7,0,Miami Dolphins / 6th / 181st pick / 2009,$89411
65,Joshua Garnett\GarnJo00,22,RG,15,11,305,6-5,Stanford,2/21/1994,Rook,5,San Francisco 49ers / 1st / 28th pick / 2016,$450000
85,Je'Ron Hamm\HammJe01,24,,5,0,236,6-3,La-Monroe,6/15/1992,2,0,,$432348
58,Eli Harold\HaroEl00,22,ROLB,16,13,243,6-3,Virginia,1/20/1994,1,6,San Francisco 49ers / 3rd / 79th pick / 2015,$540000
14,Chris Harper\HarpCh01,23,,9,2,176,5-11,California,12/7/1993,1,1,,$525000
32,DuJuan Harris\HarrDu01,28,,10,1,197,5-7,Troy,9/3/1988,5,2,,$760000
96,Taylor Hart\HartTa00,25,,1,0,305,6-6,Oregon,2/22/1991,2,0,Philadelphia Eagles / 5th / 141st pick / 2014,$600000
51,Gerald Hodges\HodgGe00,25,RILB,15,12,236,6-2,Penn St.,1/17/1991,3,7,Minnesota Vikings / 4th / 120th pick / 2013,$1671000
28,Carlos Hyde\HydeCa00,26,RB,13,13,229,6-0,Ohio St.,9/20/1990,2,7,San Francisco 49ers / 2nd / 57th pick / 2014,$654698
30,Prince Charles Iworah\IworPr00,23,,1,0,193,5-11,Western Kentucky,3/11/1993,Rook,0,San Francisco 49ers / 7th / 249th pick / 2016,$52940
63,Tony Jerod-Eddie\JeroTo00,26,,9,0,303,6-4,Texas A&M,3/29/1990,4,0,,$800000
36,Dontae Johnson\JohnDo02,25,,15,0,200,6-2,North Carolina St.,12/1/1991,2,0,San Francisco 49ers / 4th / 129th pick / 2014,$600000
,Chris Jones\JoneCh04,26,,6,6,293,6-1,Bowling Green,7/12/1990,3,0,Houston Texans / 6th / 198th pick / 2013,$675000
7,Colin Kaepernick\KaepCo00,29,QB,12,11,225,6-4,Nevada,11/3/1987,5,9,San Francisco 49ers / 2nd / 36th pick / 2011,$11900000
17,Jeremy Kerley\KerlJe00,28,WR,16,13,188,5-9,TCU,11/8/1988,5,5,New York Jets / 5th / 153rd pick / 2011,$760000
67,Daniel Kilgore\KilgDa00,29,C,13,13,291,6-3,Appalachian St.,12/18/1987,5,6,San Francisco 49ers / 5th / 163rd pick / 2011,$900000
59,Aaron Lynch\LyncAa00,23,,7,3,285,6-5,South Florida,2/8/1993,2,0,San Francisco 49ers / 5th / 150th pick / 2014,$458823
19,Keshawn Martin\MartKe01,26,,1,0,190,5-10,Michigan St.,3/15/1990,4,0,Houston Texans / 4th / 121st pick / 2012,
66,Marcus Martin\MartMa01,23,,4,2,330,6-3,USC,11/29/1993,2,0,San Francisco 49ers / 3rd / 70th pick / 2014,$635000
89,Vance McDonald\McDoVa00,26,WR,11,11,267,6-4,Rice,6/13/1990,3,3,San Francisco 49ers / 2nd / 55th pick / 2013,$795797
48,Wynton McManis\McMaWy00,22,,2,0,225,6-1,Memphis,9/20/1994,Rook,0,,$52940
31,Raheem Mostert\MostRa00,24,,1,0,197,5-10,Purdue,4/9/1992,1,0,,$26470
86,Kyle Nelson\NelsKy00,30,,16,0,240,6-2,New Mexico St.,10/3/1986,4,0,,$795000
11,Quinton Patton\PattQu00,26,WR,14,14,204,6-0,Louisiana Tech,8/9/1990,3,3,San Francisco 49ers / 4th / 128th pick / 2013,$675000
5,Bradley Pinion\PiniBr00,22,,16,0,240,6-5,Clemson,6/1/1994,1,2,San Francisco 49ers / 5th / 165th pick / 2015,$525000
64,Mike Purcell\PurcMi00,25,nt,15,5,328,6-3,Wyoming,4/20/1991,3,3,,$525000
27,Keith Reaser\ReasKe00,25,,15,0,190,6-0,Florida Atlantic,7/31/1991,2,0,San Francisco 49ers / 5th / 170th pick / 2014,$600000
35,Eric Reid\ReidEr00,25,FS,10,10,215,6-1,LSU,12/10/1991,3,4,San Francisco 49ers / 1st / 18th pick / 2013,$1561464
33,Rashard Robinson\RobiRa00,21,rcb,14,6,177,6-2,LSU,7/23/1995,Rook,3,San Francisco 49ers / 4th / 133rd pick / 2016,$450000
38,JaCorey Shepherd\ShepJa00,23,,11,0,199,5-11,Kansas,3/29/1993,Rook,0,Philadelphia Eagles / 6th / 191st pick / 2015,$317640
56,Shayne Skov\SkovSh00,26,,9,0,247,6-3,Stanford,7/9/1990,2,0,,$463235
18,DeAndre Smelter\SmelDe00,25,,2,0,227,6-2,Georgia Tech,12/3/1991,Rook,0,San Francisco 49ers / 4th / 132nd pick / 2015,$52940
82,Torrey Smith\SmitTo02,27,WR,12,12,205,6-0,Maryland,1/26/1989,5,2,Baltimore Ravens / 2nd / 58th pick / 2011,$4500000
74,Joe Staley\StalJo20,32,LT,13,13,295,6-5,Central Michigan,8/30/1984,9,6,San Francisco 49ers / 1st / 28th pick / 2007,$5400000
81,Rod Streater\StreRo00,28,,16,2,195,6-2,Temple,2/9/1988,4,1,,$760000
40,Vinnie Sunseri\SunsVi00,25,,6,0,210,5-11,Alabama,10/25/1991,2,0,New Orleans Saints / 5th / 167th pick / 2014,$211764
29,Jaquiski Tartt\TartJa00,24,fs,15,6,215,6-1,Samford,2/18/1992,1,3,San Francisco 49ers / 2nd / 46th pick / 2015,$663955
71,John Theus\TheuJo00,22,,4,1,303,6-6,Georgia,1/19/1994,Rook,0,San Francisco 49ers / 5th / 145th pick / 2016,$450000
61,Andrew Tiller\TillAn01,27,rg,15,7,324,6-4,Syracuse,5/9/1989,4,4,New Orleans Saints / 6th / 179th pick / 2012,$600000
25,Jimmie Ward\WardJi01,25,RCB,11,10,193,5-11,Northern Illinois,7/18/1991,2,5,San Francisco 49ers / 1st / 30th pick / 2014,$1066594
57,Michael Wilhoite\WilhMi00,30,rilb,16,6,245,6-0,Washburn,12/7/1986,5,4,,$1671000
