No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
32,Senorise Perry\PerrSe00,28,,11,0,210,6-0,Louisville,9/19/1991,5,0,,$720000
99,Harrison Phillips\PhilHa00,23,,3,0,307,6-3,Stanford,1/25/1996,1,0,Buffalo Bills / 3rd / 96th pick / 2018,$570000
97,Jordan Phillips\PhilJo01,27,DT,16,9,341,6-6,Oklahoma,9/21/1992,4,8,Miami Dolphins / 2nd / 52nd pick / 2015,$2250000
21,Jordan Poyer\PoyeJo00,28,SS,16,16,191,6-0,Oregon St.,4/25/1991,6,8,Philadelphia Eagles / 7th / 218th pick / 2013,$2950000
18,Andre Roberts*\RobeAn00,31,,13,0,195,5-11,The Citadel,1/9/1988,9,0,Arizona Cardinals / 3rd / 88th pick / 2010,$2000000
26,Devin Singletary\SingDe00,22,RB,12,8,203,5-7,Florida Atlantic,9/3/1997,Rook,6,Buffalo Bills / 3rd / 74th pick / 2019,$495000
85,Lee Smith\SmitLe00,32,wr,16,5,265,6-6,TennesseeMarshall,11/21/1987,8,0,New England Patriots / 5th / 159th pick / 2011,$1900000
67,Quinton Spain\SpaiQu00,28,LG,16,16,330,6-4,West Virginia,8/7/1991,4,6,,$1750000
51,Julian Stanford\StanJu00,29,,16,0,230,6-1,Wagner,9/2/1990,7,2,,$1250000
89,Tommy Sweeney\SweeTo00,24,,6,1,251,6-5,Boston Col.,7/1/1995,Rook,1,Buffalo Bills / 7th / 228th pick / 2019,$495000
96,Vincent Taylor\TaylVi00,25,,3,0,311,6-3,Oklahoma St.,1/5/1994,2,1,Miami Dolphins / 6th / 194th pick / 2017,
52,Corey Thompson\ThomCo02,26,,12,0,222,6-1,LSU,12/23/1993,1,1,,$570000
39,Levi Wallace\WallLe00,24,LCB,16,16,179,6-0,Alabama,6/12/1995,1,7,,$570000
27,Tre'Davious White*+\WhitTr01,24,RCB,15,15,192,5-11,LSU,1/16/1995,2,18,Buffalo Bills / 1st / 27th pick / 2017,$1382374
82,Duke Williams\WillDu01,27,,4,3,225,6-3,Auburn,5/13/1992,Rook,1,,$495000
22,T.J. Yeldon\YeldT.00,26,,6,0,223,6-1,Alabama,10/2/1993,4,1,Jacksonville Jaguars / 2nd / 36th pick / 2015,$1000000
