No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
57,Lorenzo Alexander\AlexLo99,36,rlb,16,7,245,6-1,California,5/31/1983,12,6,,$2000000
41,Maurice Alexander\AlexMa00,28,,7,0,220,6-2,Utah St.,2/16/1991,5,1,St. Louis Rams / 4th / 110th pick / 2014,$850000
17,Josh Allen\AlleJo02,23,QB,16,16,237,6-5,Wyoming,5/21/1996,1,11,Buffalo Bills / 1st / 7th pick / 2018,$570000
5,Matt Barkley\BarkMa00,29,,2,0,234,6-2,USC,9/8/1990,6,1,Philadelphia Eagles / 4th / 98th pick / 2013,$1250000
71,Ryan Bates\BateRy02,22,,8,0,300,6-4,Penn St.,2/14/1997,Rook,1,,
10,Cole Beasley\BeasCo00,30,WR,15,10,174,5-8,SMU,4/26/1989,7,6,,$2200000
65,Ike Boettger\BoetIk00,25,,2,0,313,6-6,Iowa,10/5/1994,1,0,,$570000
9,Corey Bojorquez\BojoCo00,23,,16,0,208,6-0,New Mexico,9/13/1996,1,1,,$570000
15,John Brown\BrowJo02,29,WR,15,15,178,5-11,Pittsburg St.,4/3/1990,5,9,Arizona Cardinals / 3rd / 91st pick / 2014,$3800000
28,Kurt Coleman\ColeKu99,31,,14,0,208,5-11,Ohio St.,7/1/1988,9,1,Philadelphia Eagles / 7th / 244th pick / 2010,$930000
73,Dion Dawkins\DawkDi00,25,LT,16,16,320,6-5,Temple,4/26/1994,2,8,Buffalo Bills / 2nd / 63rd pick / 2017,$845294
42,Patrick DiMarco\DiMaPa00,30,fb,16,4,234,6-1,South Carolina,4/30/1989,7,0,,$1600000
49,Tremaine Edmunds*\EdmuTr01,21,MLB,16,16,250,6-5,Virginia Tech,5/2/1998,1,14,Buffalo Bills / 1st / 16th pick / 2018,$1055434
76,Jon Feliciano\FeliJo00,27,RG,16,16,325,6-4,Miami (FL),2/10/1992,4,6,Oakland Raiders / 4th / 128th pick / 2015,$2400000
69,Reid Ferguson\FergRe00,25,,16,0,235,6-2,LSU,3/24/1994,2,1,,$700000
70,Cody Ford\FordCo00,23,RT,16,15,329,6-3,Oklahoma,12/28/1996,Rook,7,Buffalo Bills / 2nd / 38th pick / 2019,$495000
16,Robert Foster\FostRo01,25,,13,2,196,6-2,Alabama,5/7/1994,1,1,,$570000
20,Frank Gore\GoreFr00,36,RB,16,8,212,5-9,Miami (FL),5/14/1983,14,4,San Francisco 49ers / 3rd / 65th pick / 2005,$1250000
4,Stephen Hauschka\HausSt00,34,,16,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,11,3,,$2000000
55,Jerry Hughes\HughJe99,31,RDE,16,16,254,6-2,TCU,8/13/1988,9,10,Indianapolis Colts / 1st / 31st pick / 2010,$6800000
23,Micah Hyde\HydeMi00,29,FS,16,16,197,6-0,Iowa,12/31/1990,6,8,Green Bay Packers / 5th / 159th pick / 2013,$3950000
92,Darryl Johnson\JohnDa10,22,,16,0,253,6-6,North Carolina A&T,4/4/1997,Rook,2,Buffalo Bills / 7th / 225th pick / 2019,$495000
46,Jaquan Johnson\JohnJa11,24,,13,0,191,5-10,Miami (FL),11/6/1995,Rook,1,Buffalo Bills / 6th / 181st pick / 2019,$495000
29,Kevin Johnson\JohnKe04,27,,16,1,185,6-0,Wake Forest,8/5/1992,4,1,Houston Texans / 1st / 16th pick / 2015,$2000000
24,Taron Johnson\JohnTa01,23,DB,12,7,192,5-11,Weber St.,7/27/1996,1,3,Buffalo Bills / 4th / 121st pick / 2018,$570000
11,Zay Jones\JoneZa00,24,,5,2,200,6-2,East Carolina,3/30/1995,2,1,Buffalo Bills / 2nd / 37th pick / 2017,$1081348
88,Dawson Knox\KnoxDa00,23,TE,15,11,254,6-4,Mississippi,11/14/1996,Rook,3,Buffalo Bills / 3rd / 96th pick / 2019,$495000
81,Tyler Kroft\KrofTy00,27,,11,3,252,6-6,Rutgers,10/15/1992,4,1,Cincinnati Bengals / 3rd / 85th pick / 2015,$1800000
90,Shaq Lawson\LawsSh00,25,,15,0,267,6-3,Clemson,6/17/1994,3,3,Buffalo Bills / 1st / 19th pick / 2016,$1851679
94,Corey Liuget\LiugCo00,29,,7,0,300,6-2,Illinois,3/18/1990,8,1,San Diego Chargers / 1st / 18th pick / 2011,
61,Spencer Long\LongSp00,29,,14,0,318,6-5,Nebraska,11/8/1990,5,1,Washington Redskins / 3rd / 78th pick / 2014,$1350000
98,Star Lotulelei\LotuSt00,30,RDT,16,16,315,6-2,Utah,12/20/1989,6,10,Carolina Panthers / 1st / 14th pick / 2013,$7150000
31,Dean Marlowe\MarlDe00,27,,9,2,208,6-1,James Madison,7/25/1992,4,1,,$645000
19,Isaiah McKenzie\McKeIs00,24,WR,15,8,173,5-8,Georgia,4/9/1995,2,2,Denver Broncos / 5th / 172nd pick / 2017,$645000
58,Matt Milano\MilaMa00,25,LLB,15,15,223,6-0,Boston Col.,7/28/1994,2,11,Buffalo Bills / 5th / 163rd pick / 2017,$645000
60,Mitch Morse\MorsMi00,27,C,16,16,305,6-6,Missouri,4/21/1992,4,6,Kansas City Chiefs / 2nd / 49th pick / 2015,$4400000
93,Trent Murphy\MurpTr00,29,LDE,16,16,260,6-6,Stanford,12/22/1990,5,12,Washington Redskins / 2nd / 47th pick / 2014,$5800000
33,Siran Neal\NealSi00,25,,15,1,206,6-0,Jacksonville St.,8/4/1994,1,1,Buffalo Bills / 5th / 154th pick / 2018,$570000
77,Ty Nsekhe\NsekTy00,34,,10,1,330,6-8,Texas St.,10/27/1985,7,1,,$3200000
91,Ed Oliver\OlivEd00,22,rdt,16,7,287,6-1,Houston,12/12/1997,Rook,6,Buffalo Bills / 1st / 9th pick / 2019,$495000
94,Kyle Peko\PekoKy00,26,,4,0,305,6-1,Oregon St.,7/23/1993,3,0,,$645000
